epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8465740084648132,0.10338977724313736,0.44714635610580444,1e-04,0.24821336567401886,0.29127994179725647,0.9085548520088196,0.07470402121543884,0.6085444092750549,0.0044834306463599205,0.00019700270786415786
1,0.904298722743988,0.12652212381362915,0.338779479265213,1e-04,0.5056893229484558,0.2976798117160797,0.9123720526695251,0.06957659870386124,0.4890688359737396,0.0,0.0
2,0.9145998358726501,0.15137043595314026,0.30046921968460083,1e-04,0.5875078439712524,0.38845545053482056,0.9123772978782654,0.06192931532859802,0.39101967215538025,0.0,0.0
3,0.9236770272254944,0.17546352744102478,0.2723778188228607,1e-04,0.652543842792511,0.4530135989189148,0.9116798639297485,0.058186762034893036,0.34147074818611145,0.026644181460142136,0.00022555382747668773
4,0.9324285984039307,0.20059116184711456,0.24982625246047974,1e-04,0.7127740383148193,0.5099857449531555,0.9038661122322083,0.0657520592212677,0.32278022170066833,0.1774943321943283,0.0263812318444252
5,0.9397594332695007,0.22686895728111267,0.23001761734485626,1e-04,0.7608877420425415,0.5570700764656067,0.8969904184341431,0.0903213620185852,0.31156599521636963,0.3112232983112335,0.14098255336284637
6,0.9464961886405945,0.25407126545906067,0.2115766704082489,1e-04,0.8055768013000488,0.5974432229995728,0.9056041240692139,0.13229067623615265,0.29242920875549316,0.44837236404418945,0.301431268453598
7,0.9518265724182129,0.278790682554245,0.19580554962158203,1e-04,0.8348168134689331,0.6351195573806763,0.9153277277946472,0.16852766275405884,0.268916517496109,0.5296198129653931,0.39209818840026855
8,0.9530742764472961,0.2911396026611328,0.1882607489824295,1e-04,0.8379513025283813,0.6480405926704407,0.9228212833404541,0.16784796118736267,0.24695615470409393,0.612618625164032,0.34215086698532104
9,0.9551146030426025,0.3051067888736725,0.17927421629428864,1e-04,0.8496630191802979,0.6613969206809998,0.9308391809463501,0.1908533275127411,0.22595162689685822,0.6971702575683594,0.3858940303325653
10,0.9603356122970581,0.3297559916973114,0.16516119241714478,1e-04,0.878322958946228,0.6961379647254944,0.9331294894218445,0.20859916508197784,0.21520505845546722,0.7090061902999878,0.4162895679473877
11,0.9637814164161682,0.35246002674102783,0.15428778529167175,1e-04,0.8920747637748718,0.7237312197685242,0.9275000095367432,0.2072480320930481,0.23115742206573486,0.6376068592071533,0.4219740927219391
12,0.9646754860877991,0.3663954436779022,0.14791283011436462,1e-04,0.8942624926567078,0.7324365973472595,0.9272328615188599,0.2105465829372406,0.2325454205274582,0.6316132545471191,0.43165862560272217
13,0.9643456339836121,0.37642064690589905,0.14371536672115326,1e-04,0.8881469368934631,0.7351893782615662,0.9284037351608276,0.2395474761724472,0.2278684824705124,0.614608108997345,0.5239529609680176
14,0.9656210541725159,0.38959378004074097,0.13735240697860718,1e-04,0.8919896483421326,0.7466530203819275,0.916325569152832,0.2619243860244751,0.2649157643318176,0.5258246064186096,0.6330210566520691
15,0.9680636525154114,0.40313658118247986,0.13066720962524414,1e-05,0.9100350737571716,0.7565587759017944,0.9402781128883362,0.27451133728027344,0.19304804503917694,0.7137770652770996,0.5528838038444519
16,0.972973108291626,0.42287003993988037,0.12062162905931473,1e-05,0.9290928840637207,0.7947646975517273,0.9401485323905945,0.28214436769485474,0.19531482458114624,0.6940017938613892,0.5932607650756836
17,0.9743034243583679,0.43059876561164856,0.11763006448745728,1e-05,0.9301607012748718,0.8093516826629639,0.9399306774139404,0.28339284658432007,0.19576047360897064,0.6892303228378296,0.6000502705574036
18,0.9751295447349548,0.4356693625450134,0.11569321900606155,1e-05,0.9316295385360718,0.8175742626190186,0.9405807852745056,0.2848770320415497,0.19396547973155975,0.695665717124939,0.598619818687439
19,0.9758042693138123,0.4399541914463043,0.11404302716255188,1e-05,0.9333659410476685,0.8236562609672546,0.9408511519432068,0.28635314106941223,0.19335876405239105,0.697276771068573,0.6006212830543518
